,Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units, 
264,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Hispanic, 2010",PCT_HISP10,CNTY10,Percent,
265,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Asian, 2010",PCT_NHASIAN10,CNTY10,Percent,
266,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% American Indian or Alaska Native, 2010",PCT_NHNA10,CNTY10,Percent,
267,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Hawaiian or Pacific Islander, 2010",PCT_NHPI10,CNTY10,Percent,
268,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Population 65 years or older, 2010",PCT_65OLDER10,CNTY10,Percent,
269,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Population under age 18, 2010",PCT_18YOUNGER10,CNTY10,Percent,
270,Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Median household income, 2015",MEDHHINC15,CNTY10,Dollars,
271,Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Poverty rate, 2015",POVRATE15,CNTY10,Percent,
272,Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Persistent-poverty counties, 2010",PERPOV10,CNTY10,Legend,
273,Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Child poverty rate, 2015",CHILDPOVRATE15,CNTY10,Percent,
274,Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,"Persistent-child-poverty counties, 2010",PERCHLDPOV10,CNTY10,Legend,
275,Socioeconomic Characteristics,SOCIOECONOMIC,Other,"Metro/nonmetro counties, 2010",METRO13,CNTY10,Legend,
276,Socioeconomic Characteristics,SOCIOECONOMIC,Other,"Population-loss counties, 2010",POPLOSS10,CNTY10,Legend,
7,,,,Estimate of people of all ages in poverty 2017,POVALL_2017,,,
8,,,,90% confidence interval lower bound of estimate of people of all ages in poverty 2017,CI90LBAll_2017,,,
9,,,,90% confidence interval upper bound of estimate of people of all ages in poverty 2017,CI90UBALL_2017,,,
10,,,,Estimated percent of people of all ages in poverty 2017,PCTPOVALL_2017,,,
11,,,,90% confidence interval lower bound of estimate of percent of people of all ages in poverty 2017,CI90LBALLP_2017,,,
12,,,,90% confidence interval upper bound of estimate of percent of people of all ages in poverty 2017,CI90UBALLP_2017,,,
13,,,,Estimate of people age 0-17 in poverty 2017,POV017_2017,,,
14,,,,90% confidence interval lower bound of estimate of people age 0-17 in poverty 2017,CI90LB017_2017,,,
15,,,,90% confidence interval upper bound of estimate of people age 0-17 in poverty 2017,CI90UB017_2017,,,
16,,,,Estimated percent of people age 0-17 in poverty 2017,PCTPOV017_2017,,,
17,,,,90% confidence interval lower bound of estimate of percent of people age 0-17 in poverty 2017,CI90LB017P_2017,,,
18,,,,90% confidence interval upper bound of estimate of percent of people age 0-17 in poverty 2017,CI90UB017P_2017,,,
19,,,,Estimate of related children age 5-17 in families in poverty 2017,POV517_2017,,,
20,,,,90% confidence interval lower bound of estimate of related children age 5-17 in families in poverty 2017,CI90LB517_2017,,,
21,,,,90% confidence interval upper bound of estimate of related children age 5-17 in families in poverty 2017,CI90UB517_2017,,,
22,,,,Estimated percent of related children age 5-17 in families in poverty 2017,PCTPOV517_2017,,,
23,,,,90% confidence interval lower bound of estimate of percent of related children age 5-17 in families in poverty 2017,CI90LB517P_2017,,,
24,,,,90% confidence interval upper bound of estimate of percent of related children age 5-17 in families in poverty 2017,CI90UB517P_2017,,,
25,,,,Estimate of median household income 2017,MEDHHINC_2017,,,
26,,,,90% confidence interval lower bound of estimate of median household income 2017,CI90LBINC_2017,,,
27,,,,90% confidence interval upper bound of estimate of median household income 2017,CI90UBINC_2017,,,
28,,,,Estimate of children ages 0 to 4 in poverty 2017 (available for the U.S. and State total only),POV04_2017,,,
29,,,,90% confidence interval lower bound of estimate of children ages 0 to 4 in poverty 2017,CI90LB04_2017,,,
30,,,,90% confidence interval upper bound of estimate of children ages 0 to 4 in poverty 2017,CI90UB04_2017,,,
38,,,,"Civilian labor force annual average, 2015",Civilian_labor_force_2015,,,
39,,,,"Number employed annual average, 2015",Employed_2015,,,
40,,,,"Number unemployed annual average, 2015",Unemployed_2015,,,
41,,,,"Unemployment rate, 2015",Unemployment_rate_2015,,,
0,,,,"Less than a high school diploma, 2013-17","Less than a high school diploma, 2013-17",,,
1,,,,"High school diploma only, 2013-17","High school diploma only, 2013-17",,,
2,,,,"Some college or associate's degree, 2013-17","Some college or associate's degree, 2013-17",,,
3,,,,"Bachelor's degree or higher, 2013-17","Bachelor's degree or higher, 2013-17",,,
4,,,,"Percent of adults with less than a high school diploma, 2013-17","Percent of adults with less than a high school diploma, 2013-17",,,
5,,,,"Percent of adults with a high school diploma only, 2013-17","Percent of adults with a high school diploma only, 2013-17",,,
6,,,,"Percent of adults completing some college or associate's degree, 2013-17","Percent of adults completing some college or associate's degree, 2013-17",,,
7,,,,"Percent of adults with a bachelor's degree or higher, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17",,,
8,,,,2010 Census Population,2010 Census Population,,,
